BusinessEntityID,NationalIDNumber,LoginID,OrganizationNode,OrganizationLevel,JobTitle,BirthDate,MaritalStatus,Gender,HireDate,SalariedFlag,VacationHours,SickLeaveHours,CurrentFlag,rowguid,ModifiedDate
40,309738752,adventure-works\jolynn0,7ADA,3,Production Supervisor - WC60,1956-01-16,S,F,2007-12-26,False,82,61,True,{2CC71B96-F421-485E-9832-8723337749BB},2014-06-30 00:00:00
41,458159238,adventure-works\bryan0,7ADAB0,4,Production Technician - WC60,1973-08-27,S,M,2009-01-21,False,35,37,True,{4652D4E4-6A27-47ED-9F51-C377E293DA28},2014-06-30 00:00:00
44,276751903,adventure-works\simon0,7ADB08,4,Production Technician - WC60,1990-05-17,S,M,2008-12-08,False,38,39,True,{F734D38A-56B5-471E-8DED-A682E958A9B3},2014-06-30 00:00:00
46,66073987,adventure-works\eugene1,7ADB28,4,Production Technician - WC60,1976-02-10,S,M,2009-02-08,False,36,38,True,{33543B35-77DA-4600-A41B-1EAFEA0AD643},2014-06-30 00:00:00
47,33237992,adventure-works\andrew0,7ADE,3,Production Supervisor - WC10,1988-09-06,S,M,2009-02-22,False,65,52,True,{08365B05-C143-4260-A93C-6B69418B1946},2014-06-30 00:00:00
49,912265825,adventure-works\barry0,7ADED0,4,Production Technician - WC10,1956-03-26,S,M,2008-01-07,False,88,64,True,{756A60AE-378F-43D8-9F93-1E821D1EAF52},2014-06-30 00:00:00
51,132674823,adventure-works\jeffrey0,7ADF08,4,Production Technician - WC10,1956-07-11,S,M,2008-02-20,False,85,62,True,{6E086F41-B81D-4BDC-9F13-0EEC488DC43E},2014-06-30 00:00:00
57,10708100,adventure-works\frank1,7AE168,4,Production Technician - WC50,1971-07-24,S,M,2009-02-23,False,10,25,True,{B395CD84-77BA-4D3C-A49D-D9E8D6CF100B},2014-06-30 00:00:00
59,843479922,adventure-works\bob0,7AE184,4,Production Technician - WC50,1979-08-16,S,M,2008-12-24,False,12,26,True,{68616AEA-81E5-4940-A7E4-6FBA882BCCF6},2014-06-30 00:00:00
60,827686041,adventure-works\pete0,7AE18C,4,Production Technician - WC50,1977-02-03,S,M,2009-01-11,False,13,26,True,{1F1D813D-3EDC-4274-8E9B-4519D71685B6},2014-06-30 00:00:00
61,92096924,adventure-works\diane2,7AE194,4,Production Technician - WC50,1989-08-09,S,F,2009-01-18,False,8,24,True,{721A2921-C415-46DE-9111-13F25F428B8B},2014-06-30 00:00:00
63,414476027,adventure-works\maciej0,7AE358,4,Production Technician - WC60,1955-01-30,S,M,2010-01-29,False,30,35,True,{3229D93F-6A14-4BAC-ABC5-A91B9ECFB4D3},2014-06-30 00:00:00
64,582347317,adventure-works\michael7,7AE368,4,Production Technician - WC60,1973-09-05,S,M,2010-02-23,False,26,33,True,{492B24BD-BDE9-4371-B96E-CCD72264B91F},2014-06-30 00:00:00
66,834186596,adventure-works\karan0,7AE384,4,Production Technician - WC60,1970-03-07,S,M,2009-12-22,False,28,34,True,{08B1BA74-DD80-4FDA-8327-93268B84977B},2014-06-30 00:00:00
67,63179277,adventure-works\jay0,7AE38C,4,Production Technician - WC60,1976-02-11,S,M,2009-03-05,False,32,36,True,{18187809-5294-474F-85A1-D5BE6BD518D6},2014-06-30 00:00:00
68,537092325,adventure-works\charles0,7AE394,4,Production Technician - WC60,1971-09-02,S,M,2009-12-03,False,27,33,True,{CDC11292-DF74-4FB0-8676-5B2AA4687142},2014-06-30 00:00:00
69,752513276,adventure-works\steve0,7AE39C,4,Production Technician - WC60,1991-04-06,S,M,2009-02-15,False,31,35,True,{12F678D7-EAD3-4CF4-8518-A19AACF2A6D4},2014-06-30 00:00:00
71,578935259,adventure-works\michael3,7AE5,3,Production Supervisor - WC30,1989-01-29,S,M,2009-02-15,False,70,55,True,{1AD772D7-7B4A-4A7B-8676-49DD7608CB94},2014-06-30 00:00:00
74,420023788,adventure-works\bjorn0,7AE578,4,Production Technician - WC30,1989-11-06,S,M,2009-01-07,False,43,41,True,{A942E1E0-2D5E-4858-97C0-947020E96860},2014-06-30 00:00:00
75,363996959,adventure-works\michiko0,7AE584,4,Production Technician - WC30,1982-06-27,S,M,2009-01-26,False,44,42,True,{F359F5B6-5E18-4C62-8531-14D951911CE5},2014-06-30 00:00:00
